tenant_id,tenant_name,metadata,asset_type,description,title,version,url,file_size,status,tags,id,created_date,updated_date,created_by_id,created_by,is_sample
"6a220da4b282e8b27dbefda9","Asia Operatic Museum Singapore","{""media_key"":""aom-media-070"",""intended_usage"":""export documentation"",""linked_module"":""export_documentation"",""alt_text"":""export documentation placeholder media"",""replacement_required"":true,""production_status"":""placeholder_required_replacement"",""rights_status"":""demo_placeholder"",""approval_state"":""pending_curator_review"",""publish_status"":""published"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","animation","export documentation seed asset for MOA demo. Asset status: placeholder_required_replacement. Intended usage is connected to XR, learning, commerce, gaming, accessibility, or export readiness.","export documentation Placeholder Asset 70","1.0","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","","published","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement"",""export-documentation""]","6a220da97097621179011a51","2026-06-04T23:43:37.603000","2026-06-04T23:43:37.603000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","Asia Operatic Museum Singapore","{""media_key"":""aom-media-069"",""intended_usage"":""admin preview"",""linked_module"":""admin_preview"",""alt_text"":""admin preview placeholder media"",""replacement_required"":true,""production_status"":""placeholder_required_replacement"",""rights_status"":""demo_placeholder"",""approval_state"":""pending_curator_review"",""publish_status"":""published"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","metadata","admin preview seed asset for MOA demo. Asset status: placeholder_required_replacement. Intended usage is connected to XR, learning, commerce, gaming, accessibility, or export readiness.","admin preview Placeholder Asset 69","1.0","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","","published","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement"",""admin-preview""]","6a220da97097621179011a50","2026-06-04T23:43:37.603000","2026-06-04T23:43:37.603000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","Asia Operatic Museum Singapore","{""media_key"":""aom-media-072"",""intended_usage"":""SNU artefact"",""linked_module"":""snu_artefact"",""alt_text"":""SNU artefact placeholder media"",""replacement_required"":true,""production_status"":""placeholder_required_replacement"",""rights_status"":""demo_placeholder"",""approval_state"":""pending_curator_review"",""publish_status"":""published"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","station","SNU artefact seed asset for MOA demo. Asset status: placeholder_required_replacement. Intended usage is connected to XR, learning, commerce, gaming, accessibility, or export readiness.","SNU artefact Placeholder Asset 72","1.0","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","","published","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement"",""snu-artefact""]","6a220da97097621179011a53","2026-06-04T23:43:37.603000","2026-06-04T23:43:37.603000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","Asia Operatic Museum Singapore","{""media_key"":""aom-media-067"",""intended_usage"":""gamification badge"",""linked_module"":""gamification_badge"",""alt_text"":""gamification badge placeholder media"",""replacement_required"":true,""production_status"":""placeholder_required_replacement"",""rights_status"":""demo_placeholder"",""approval_state"":""pending_curator_review"",""publish_status"":""published"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","audio","gamification badge seed asset for MOA demo. Asset status: placeholder_required_replacement. Intended usage is connected to XR, learning, commerce, gaming, accessibility, or export readiness.","gamification badge Placeholder Asset 67","1.0","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","","published","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement"",""gamification-badge""]","6a220da97097621179011a4e","2026-06-04T23:43:37.603000","2026-06-04T23:43:37.603000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","Asia Operatic Museum Singapore","{""media_key"":""aom-media-073"",""intended_usage"":""Mulan hologram"",""linked_module"":""mulan_hologram"",""alt_text"":""Mulan hologram placeholder media"",""replacement_required"":true,""production_status"":""placeholder_required_replacement"",""rights_status"":""demo_placeholder"",""approval_state"":""pending_curator_review"",""publish_status"":""published"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","image","Mulan hologram seed asset for MOA demo. Asset status: placeholder_required_replacement. Intended usage is connected to XR, learning, commerce, gaming, accessibility, or export readiness.","Mulan hologram Placeholder Asset 73","1.0","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","","published","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement"",""mulan-hologram""]","6a220da97097621179011a54","2026-06-04T23:43:37.603000","2026-06-04T23:43:37.603000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","Asia Operatic Museum Singapore","{""media_key"":""aom-media-078"",""intended_usage"":""tactile tabletop"",""linked_module"":""tactile_tabletop"",""alt_text"":""tactile tabletop placeholder media"",""replacement_required"":true,""production_status"":""placeholder_required_replacement"",""rights_status"":""demo_placeholder"",""approval_state"":""pending_curator_review"",""publish_status"":""published"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","animation","tactile tabletop seed asset for MOA demo. Asset status: placeholder_required_replacement. Intended usage is connected to XR, learning, commerce, gaming, accessibility, or export readiness.","tactile tabletop Placeholder Asset 78","1.0","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","","published","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement"",""tactile-tabletop""]","6a220da97097621179011a59","2026-06-04T23:43:37.603000","2026-06-04T23:43:37.603000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","Asia Operatic Museum Singapore","{""media_key"":""aom-media-080"",""intended_usage"":""academy"",""linked_module"":""academy"",""alt_text"":""academy placeholder media"",""replacement_required"":true,""production_status"":""placeholder_required_replacement"",""rights_status"":""demo_placeholder"",""approval_state"":""pending_curator_review"",""publish_status"":""published"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","station","academy seed asset for MOA demo. Asset status: placeholder_required_replacement. Intended usage is connected to XR, learning, commerce, gaming, accessibility, or export readiness.","academy Placeholder Asset 80","1.0","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","","published","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement"",""academy""]","6a220da97097621179011a5b","2026-06-04T23:43:37.603000","2026-06-04T23:43:37.603000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","Asia Operatic Museum Singapore","{""media_key"":""aom-media-063"",""intended_usage"":""VR environment"",""linked_module"":""vr_environment"",""alt_text"":""VR environment placeholder media"",""replacement_required"":true,""production_status"":""placeholder_required_replacement"",""rights_status"":""demo_placeholder"",""approval_state"":""pending_curator_review"",""publish_status"":""published"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","script","VR environment seed asset for MOA demo. Asset status: placeholder_required_replacement. Intended usage is connected to XR, learning, commerce, gaming, accessibility, or export readiness.","VR environment Placeholder Asset 63","1.0","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","","published","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement"",""vr-environment""]","6a220da97097621179011a4a","2026-06-04T23:43:37.603000","2026-06-04T23:43:37.603000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","Asia Operatic Museum Singapore","{""media_key"":""aom-media-077"",""intended_usage"":""VR environment"",""linked_module"":""vr_environment"",""alt_text"":""VR environment placeholder media"",""replacement_required"":true,""production_status"":""placeholder_required_replacement"",""rights_status"":""demo_placeholder"",""approval_state"":""pending_curator_review"",""publish_status"":""published"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","metadata","VR environment seed asset for MOA demo. Asset status: placeholder_required_replacement. Intended usage is connected to XR, learning, commerce, gaming, accessibility, or export readiness.","VR environment Placeholder Asset 77","1.0","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","","published","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement"",""vr-environment""]","6a220da97097621179011a58","2026-06-04T23:43:37.603000","2026-06-04T23:43:37.603000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","Asia Operatic Museum Singapore","{""media_key"":""aom-media-079"",""intended_usage"":""commerce product"",""linked_module"":""commerce_product"",""alt_text"":""commerce product placeholder media"",""replacement_required"":true,""production_status"":""placeholder_required_replacement"",""rights_status"":""demo_placeholder"",""approval_state"":""pending_curator_review"",""publish_status"":""published"",""seed_source"":""SCAVERSE_TOTAL_DATABASE_SEED""}","script","commerce product seed asset for MOA demo. Asset status: placeholder_required_replacement. Intended usage is connected to XR, learning, commerce, gaming, accessibility, or export readiness.","commerce product Placeholder Asset 79","1.0","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","","published","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement"",""commerce-product""]","6a220da97097621179011a5a","2026-06-04T23:43:37.603000","2026-06-04T23:43:37.603000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
