publishState,updatedBy,visibilityScope,approvedBy,description,ownerId,promptKey,createdAt,archivedAt,deletedAt,createdBy,scope,rolePermissions,tenantId,name,currentVersionId,updatedAt,id,created_date,updated_date,created_by_id,created_by,is_sample
"published","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","Admin Content Reviewer seeded for SCAVerse MOA workflows.","","admin-content-reviewer","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","6a220da4b282e8b27dbefda9","Admin Content Reviewer","","2026-06-04T23:43:45.452Z","6a220db9b9bd459578e3b9e6","2026-06-04T23:43:53.617000","2026-06-04T23:43:53.617000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","Migration Readiness Auditor seeded for SCAVerse MOA workflows.","","migration-readiness-auditor","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","6a220da4b282e8b27dbefda9","Migration Readiness Auditor","","2026-06-04T23:43:45.452Z","6a220db85350041f5a3bd88c","2026-06-04T23:43:52.946000","2026-06-04T23:43:52.946000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","QA Sentinel Inspector seeded for SCAVerse MOA workflows.","","qa-sentinel-inspector","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","6a220da4b282e8b27dbefda9","QA Sentinel Inspector","","2026-06-04T23:43:45.452Z","6a220db8f2f38c79a1774193","2026-06-04T23:43:52.167000","2026-06-04T23:43:52.167000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","Accessibility Checker seeded for SCAVerse MOA workflows.","","accessibility-checker","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","6a220da4b282e8b27dbefda9","Accessibility Checker","","2026-06-04T23:43:45.452Z","6a220db7620a2b6e094280ac","2026-06-04T23:43:51.393000","2026-06-04T23:43:51.393000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","VR Mission Generator seeded for SCAVerse MOA workflows.","","vr-mission-generator","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","6a220da4b282e8b27dbefda9","VR Mission Generator","","2026-06-04T23:43:45.452Z","6a220db61e22d4e62ba82ab0","2026-06-04T23:43:50.648000","2026-06-04T23:43:50.648000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","Hologram Script Generator seeded for SCAVerse MOA workflows.","","hologram-script-generator","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","6a220da4b282e8b27dbefda9","Hologram Script Generator","","2026-06-04T23:43:45.452Z","6a220db53ada855f68d1bb63","2026-06-04T23:43:49.894000","2026-06-04T23:43:49.894000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","AR Preview Copy Generator seeded for SCAVerse MOA workflows.","","ar-preview-copy-generator","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","6a220da4b282e8b27dbefda9","AR Preview Copy Generator","","2026-06-04T23:43:45.452Z","6a220db5076a6e30581056b1","2026-06-04T23:43:49.229000","2026-06-04T23:43:49.229000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","Vendor Product Story Generator seeded for SCAVerse MOA workflows.","","vendor-product-story-generator","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","6a220da4b282e8b27dbefda9","Vendor Product Story Generator","","2026-06-04T23:43:45.452Z","6a220db44b48ecb69389ccd4","2026-06-04T23:43:48.546000","2026-06-04T23:43:48.546000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","Visitor Safety Response seeded for SCAVerse MOA workflows.","","visitor-safety-response","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","6a220da4b282e8b27dbefda9","Visitor Safety Response","","2026-06-04T23:43:45.452Z","6a220db359f0c8e04246e81d","2026-06-04T23:43:47.889000","2026-06-04T23:43:47.889000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","Learning Module Generator seeded for SCAVerse MOA workflows.","","learning-module-generator","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","6a220da4b282e8b27dbefda9","Learning Module Generator","","2026-06-04T23:43:45.452Z","6a220db3cbc8801160e7828d","2026-06-04T23:43:47.190000","2026-06-04T23:43:47.190000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","Exhibit Summary Generator seeded for SCAVerse MOA workflows.","","exhibit-summary-generator","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","6a220da4b282e8b27dbefda9","Exhibit Summary Generator","","2026-06-04T23:43:45.452Z","6a220db237448e7509daf078","2026-06-04T23:43:46.483000","2026-06-04T23:43:46.483000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","Cultural Guide Answer Generator seeded for SCAVerse MOA workflows.","","cultural-guide-answer-generator","2026-06-04T23:43:45.452Z","","","SCAVERSE_TOTAL_DATABASE_SEED","tenant","","6a220da4b282e8b27dbefda9","Cultural Guide Answer Generator","","2026-06-04T23:43:45.452Z","6a220db1b3a21f35f83e05dc","2026-06-04T23:43:45.774000","2026-06-04T23:43:45.774000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","","platform","","Active master prompt for page audit, CMS autofill, SEO metadata, deterministic field population, component-aware content density, render validation, anti-generic enforcement, and visual rhythm protection.","","overview_navigation_replacement","2026-06-03T00:00:00.000+08:00","","","","global","","","Frontend-Aware Autonomous Content Population Engine","6a20c0578ecaebb3acf4375c","2026-06-04T00:02:00.000+08:00","6a1f76212de8a8fbf946a8b2","2026-06-03T00:32:33.896000","2026-06-04T00:01:47","6a171d7f6abbd230a00539e3","aipavuron@gmail.com","false"
