publishState,description,mimeType,isActive,museumId,createdAt,fileExtension,loop,fileUrl,renderType,muted,assignedPage,thumbnailUrl,updatedAt,originalFileName,updatedBy,mediaType,presetSlug,assignedComponent,autoplay,tags,presetName,sourceType,fileSize,createdBy,tenantSlug,tenantId,name,ownershipScope,id,created_date,updated_date,created_by_id,created_by,is_sample
"published","Museum-owned media registry placeholder that must be replaced with approved production assets before live hardware deployment.","image/jpeg","true","6a220da4b282e8b27dbefda9","2026-06-04T23:43:37.645Z","jpg","true","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","background","true","/museum/asia-operatic-museum/admin/home","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","2026-06-04T23:43:37.645Z","aom-placeholder-13.jpg","SCAVERSE_TOTAL_DATABASE_SEED","image","aom-media-registry-13","moa-seed-component-13","false","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement""]","MOA Seed Media","url","","SCAVERSE_TOTAL_DATABASE_SEED","asia-operatic-museum","6a220da4b282e8b27dbefda9","AOM Media Registry Slot 13","museum","6a220daa2e9b22994f692fa8","2026-06-04T23:43:38.107000","2026-06-04T23:43:38.107000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","Museum-owned media registry placeholder that must be replaced with approved production assets before live hardware deployment.","image/jpeg","true","6a220da4b282e8b27dbefda9","2026-06-04T23:43:37.645Z","jpg","true","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","poster","true","/museum/asia-operatic-museum/admin/walkthrough","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","2026-06-04T23:43:37.645Z","aom-placeholder-15.jpg","SCAVERSE_TOTAL_DATABASE_SEED","image","aom-media-registry-15","moa-seed-component-15","false","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement""]","MOA Seed Media","url","","SCAVERSE_TOTAL_DATABASE_SEED","asia-operatic-museum","6a220da4b282e8b27dbefda9","AOM Media Registry Slot 15","museum","6a220daa2e9b22994f692faa","2026-06-04T23:43:38.107000","2026-06-04T23:43:38.107000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","Museum-owned media registry placeholder that must be replaced with approved production assets before live hardware deployment.","image/jpeg","true","6a220da4b282e8b27dbefda9","2026-06-04T23:43:37.645Z","jpg","true","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","fallback","true","/museum/asia-operatic-museum/commerce","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","2026-06-04T23:43:37.645Z","aom-placeholder-24.jpg","SCAVERSE_TOTAL_DATABASE_SEED","image","aom-media-registry-24","moa-seed-component-24","false","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement""]","MOA Seed Media","url","","SCAVERSE_TOTAL_DATABASE_SEED","asia-operatic-museum","6a220da4b282e8b27dbefda9","AOM Media Registry Slot 24","museum","6a220daa2e9b22994f692fb3","2026-06-04T23:43:38.107000","2026-06-04T23:43:38.107000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","Museum-owned media registry placeholder that must be replaced with approved production assets before live hardware deployment.","image/jpeg","true","6a220da4b282e8b27dbefda9","2026-06-04T23:43:37.645Z","jpg","true","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","fallback","true","/museum/asia-operatic-museum/admin/analytics","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","2026-06-04T23:43:37.645Z","aom-placeholder-12.jpg","SCAVERSE_TOTAL_DATABASE_SEED","image","aom-media-registry-12","moa-seed-component-12","false","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement""]","MOA Seed Media","url","","SCAVERSE_TOTAL_DATABASE_SEED","asia-operatic-museum","6a220da4b282e8b27dbefda9","AOM Media Registry Slot 12","museum","6a220daa2e9b22994f692fa7","2026-06-04T23:43:38.107000","2026-06-04T23:43:38.107000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","Museum-owned media registry placeholder that must be replaced with approved production assets before live hardware deployment.","image/jpeg","true","6a220da4b282e8b27dbefda9","2026-06-04T23:43:37.645Z","jpg","true","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","background","true","/museum/asia-operatic-museum/home","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","2026-06-04T23:43:37.645Z","aom-placeholder-1.jpg","SCAVERSE_TOTAL_DATABASE_SEED","video","aom-media-registry-1","moa-seed-component-1","false","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement""]","MOA Seed Media","url","","SCAVERSE_TOTAL_DATABASE_SEED","asia-operatic-museum","6a220da4b282e8b27dbefda9","AOM Media Registry Slot 1","museum","6a220daa2e9b22994f692f9c","2026-06-04T23:43:38.107000","2026-06-04T23:43:38.107000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","Museum-owned media registry placeholder that must be replaced with approved production assets before live hardware deployment.","image/jpeg","true","6a220da4b282e8b27dbefda9","2026-06-04T23:43:37.645Z","jpg","true","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","fallback","true","/museum/asia-operatic-museum/tickets","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","2026-06-04T23:43:37.645Z","aom-placeholder-4.jpg","SCAVERSE_TOTAL_DATABASE_SEED","image","aom-media-registry-4","moa-seed-component-4","false","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement""]","MOA Seed Media","url","","SCAVERSE_TOTAL_DATABASE_SEED","asia-operatic-museum","6a220da4b282e8b27dbefda9","AOM Media Registry Slot 4","museum","6a220daa2e9b22994f692f9f","2026-06-04T23:43:38.107000","2026-06-04T23:43:38.107000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","Museum-owned media registry placeholder that must be replaced with approved production assets before live hardware deployment.","image/jpeg","true","6a220da4b282e8b27dbefda9","2026-06-04T23:43:37.645Z","jpg","true","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","background","true","/tenant-login","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","2026-06-04T23:43:37.645Z","aom-placeholder-9.jpg","SCAVERSE_TOTAL_DATABASE_SEED","image","aom-media-registry-9","moa-seed-component-9","false","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement""]","MOA Seed Media","url","","SCAVERSE_TOTAL_DATABASE_SEED","asia-operatic-museum","6a220da4b282e8b27dbefda9","AOM Media Registry Slot 9","museum","6a220daa2e9b22994f692fa4","2026-06-04T23:43:38.107000","2026-06-04T23:43:38.107000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","Museum-owned media registry placeholder that must be replaced with approved production assets before live hardware deployment.","image/jpeg","true","6a220da4b282e8b27dbefda9","2026-06-04T23:43:37.645Z","jpg","true","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","fallback","true","/platform/admin/infrastructure","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","2026-06-04T23:43:37.645Z","aom-placeholder-16.jpg","SCAVERSE_TOTAL_DATABASE_SEED","video","aom-media-registry-16","moa-seed-component-16","false","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement""]","MOA Seed Media","url","","SCAVERSE_TOTAL_DATABASE_SEED","asia-operatic-museum","6a220da4b282e8b27dbefda9","AOM Media Registry Slot 16","museum","6a220daa2e9b22994f692fab","2026-06-04T23:43:38.107000","2026-06-04T23:43:38.107000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","Museum-owned media registry placeholder that must be replaced with approved production assets before live hardware deployment.","image/jpeg","true","6a220da4b282e8b27dbefda9","2026-06-04T23:43:37.645Z","jpg","true","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","foreground","true","/museum/asia-operatic-museum/guide","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","2026-06-04T23:43:37.645Z","aom-placeholder-22.jpg","SCAVERSE_TOTAL_DATABASE_SEED","image","aom-media-registry-22","moa-seed-component-22","false","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement""]","MOA Seed Media","url","","SCAVERSE_TOTAL_DATABASE_SEED","asia-operatic-museum","6a220da4b282e8b27dbefda9","AOM Media Registry Slot 22","museum","6a220daa2e9b22994f692fb1","2026-06-04T23:43:38.107000","2026-06-04T23:43:38.107000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"published","Museum-owned media registry placeholder that must be replaced with approved production assets before live hardware deployment.","image/jpeg","true","6a220da4b282e8b27dbefda9","2026-06-04T23:43:37.645Z","jpg","true","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","poster","true","/museum/asia-operatic-museum/guide","https://images.unsplash.com/photo-1554907984-15263bfd63bd?auto=format&fit=crop&w=1600&q=80","2026-06-04T23:43:37.645Z","aom-placeholder-3.jpg","SCAVERSE_TOTAL_DATABASE_SEED","image","aom-media-registry-3","moa-seed-component-3","false","[""asia-operatic-museum"",""SCAVERSE_TOTAL_DATABASE_SEED"",""placeholder_required_replacement""]","MOA Seed Media","url","","SCAVERSE_TOTAL_DATABASE_SEED","asia-operatic-museum","6a220da4b282e8b27dbefda9","AOM Media Registry Slot 3","museum","6a220daa2e9b22994f692f9e","2026-06-04T23:43:38.107000","2026-06-04T23:43:38.107000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
