actor_user_id,test_status,seed_key,required_role,route,expected_status,blocked_access_test,route_type,tenant_scoped,actor_role,expected_result,id,created_date,updated_date,created_by_id,created_by,is_sample
"usr_visitor_001","needs_retest","route_block_visitor_platform_admin","visitor","/platform/admin","blocked","true","blocked_access","false","visitor","blocked","6a22c78265ff9a40cbbb5af0","2026-06-05T12:56:34.873000","2026-06-05T12:56:34.873000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"usr_visitor_001","needs_retest","route_block_visitor_tenant_admin","visitor","/museum/national-heritage/admin","blocked","true","blocked_access","true","visitor","blocked","6a22c78265ff9a40cbbb5af1","2026-06-05T12:56:34.873000","2026-06-05T12:56:34.873000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"usr_tenant_admin_heritage_001","needs_retest","route_block_cross_tenant_heritage_science","tenant_admin","/museum/future-science-dome/admin","blocked","true","blocked_access","true","tenant_admin","blocked","6a22c78265ff9a40cbbb5af2","2026-06-05T12:56:34.873000","2026-06-05T12:56:34.873000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"usr_tenant_admin_science_001","needs_retest","route_block_cross_tenant_science_arts","tenant_admin","/museum/living-arts-gallery/admin","blocked","true","blocked_access","true","tenant_admin","blocked","6a22c78265ff9a40cbbb5af3","2026-06-05T12:56:34.873000","2026-06-05T12:56:34.873000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","passed","route_platform_0","public","/","200","","public_platform","false","","","6a22c78265ff9a40cbbb5ab5","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","passed","route_platform_1","public","/platform/overview","200","","public_platform","false","","","6a22c78265ff9a40cbbb5ab6","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","passed","route_platform_2","public","/virtual-experience","200","","public_platform","false","","","6a22c78265ff9a40cbbb5ab7","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","passed","route_platform_3","public","/become-a-tenant","200","","public_platform","false","","","6a22c78265ff9a40cbbb5ab8","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","needs_retest","route_platform_4","platform_admin","/platform/admin","200","","platform_admin","false","","","6a22c78265ff9a40cbbb5ab9","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","needs_retest","route_platform_5","platform_admin","/platform/admin/users-access","200","","platform_admin","false","","","6a22c78265ff9a40cbbb5aba","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","needs_retest","route_platform_6","platform_admin","/platform/admin/modules","200","","platform_admin","false","","","6a22c78265ff9a40cbbb5abb","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","needs_retest","route_platform_7","platform_admin","/platform/admin/public-content","200","","platform_admin","false","","","6a22c78265ff9a40cbbb5abc","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","needs_retest","route_platform_8","platform_admin","/platform/admin/qa-sentinel","200","","platform_admin","false","","","6a22c78265ff9a40cbbb5abd","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","needs_retest","route_platform_9","platform_admin","/platform/admin/tenants","200","","platform_admin","false","","","6a22c78265ff9a40cbbb5abe","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","needs_retest","route_platform_10","platform_admin","/platform/admin/music","200","","platform_admin","false","","","6a22c78265ff9a40cbbb5abf","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","passed","route_national-heritage_home","public","/museum/national-heritage/home","200","","public_museum","true","","","6a22c78265ff9a40cbbb5ac0","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","needs_retest","route_national-heritage_tickets","public","/museum/national-heritage/tickets","200","","public_museum","true","","","6a22c78265ff9a40cbbb5ac1","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","needs_retest","route_national-heritage_about","public","/museum/national-heritage/about","200","","public_museum","true","","","6a22c78265ff9a40cbbb5ac2","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","passed","route_national-heritage_begin-tour","public","/museum/national-heritage/begin-tour","200","","public_museum","true","","","6a22c78265ff9a40cbbb5ac3","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","needs_retest","route_national-heritage_walkthrough","public","/museum/national-heritage/walkthrough","200","","public_museum","true","","","6a22c78265ff9a40cbbb5ac4","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"","needs_retest","route_national-heritage_guide","public","/museum/national-heritage/guide","200","","public_museum","true","","","6a22c78265ff9a40cbbb5ac5","2026-06-05T12:56:34.872000","2026-06-05T12:56:34.872000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
